id,food_name,portion_label,portion_grams,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sodium_mg_per_100g,is_vegan,is_vegetarian,is_gluten_free,allergens,image_r,image_g,image_b,brightness
459,Idli Sambar,3 idlis,268,127.68,4.68,25.27,1.16,3.43,276.64,1,1,1,none,221,197,165,194
460,Peanut Butter Sandwich,1 sandwich,155,280.32,11.71,29.16,13.55,3.92,385.32,1,1,0,peanut|gluten,185,139,94,139
461,Grilled Chicken Breast,1 serving,146,161.70,30.63,0.00,3.54,0.00,73.56,0,0,1,none,172,137,105,138
462,Brown Rice,1 bowl,175,108.78,2.57,22.68,0.89,1.78,4.97,1,1,1,none,201,180,135,172
463,Mixed Salad,1 bowl,116,27.44,1.88,5.42,0.30,2.18,39.76,1,1,1,none,98,154,87,113
464,Paneer Curry,1 bowl,194,259.70,10.87,8.87,19.68,1.98,417.48,0,1,1,dairy,188,124,86,133
465,Chapati,2 pieces,78,291.06,9.48,54.23,3.64,7.23,308.14,1,1,0,gluten,204,162,115,160
466,Omelette,2 eggs,107,150.92,12.45,1.08,10.43,0.00,154.07,0,1,1,egg,223,193,109,175
467,Salmon Fillet,1 fillet,155,203.84,19.76,0.00,12.79,0.00,58.65,0,0,1,fish,228,144,124,165
468,Avocado Toast,1 slice,136,215.60,5.93,22.68,11.81,6.93,337.96,1,1,0,gluten,151,181,105,146
469,Greek Yogurt Bowl,1 bowl,165,119.56,10.87,6.90,4.92,1.48,61.63,0,1,1,dairy,232,228,206,222
470,Tofu Stir Fry,1 bowl,204,142.10,11.86,9.86,7.87,2.97,387.66,1,1,1,soy,163,150,119,144
471,Lentil Soup,1 bowl,233,113.68,8.89,19.72,0.49,7.92,357.84,1,1,1,none,177,122,74,124
472,Beef Steak,1 steak,175,265.58,24.70,0.00,18.70,0.00,57.65,0,0,1,none,145,80,68,98
473,Banana Smoothie,1 glass,291,94.08,3.46,17.75,1.18,2.57,44.73,0,1,1,dairy,233,219,144,199
474,Quinoa Bowl,1 bowl,194,117.60,4.35,20.71,1.87,2.77,13.92,1,1,1,none,205,193,145,181
475,Pasta Alfredo,1 plate,272,225.40,7.90,25.64,10.82,1.48,457.24,0,1,0,gluten|dairy,233,215,175,208
476,Veggie Burger,1 burger,213,186.20,11.86,23.66,4.92,5.94,516.88,1,1,0,gluten|soy,169,125,89,128
477,Sushi Roll,8 pieces,243,147.00,5.93,27.61,1.97,0.99,407.54,0,0,0,fish|soy,228,225,211,221
478,Fruit Bowl,1 bowl,213,63.70,0.99,15.78,0.30,2.97,1.99,1,1,1,none,211,150,107,156
479,Idli Sambar,3 idlis,252,130.34,4.74,25.64,1.18,3.46,278.32,1,1,1,none,219,204,170,198
480,Peanut Butter Sandwich,1 sandwich,146,286.16,11.86,29.58,13.78,3.96,387.66,1,1,0,peanut|gluten,183,146,99,143
481,Grilled Chicken Breast,1 serving,148,165.00,31.00,0.00,3.60,0.00,74.00,0,0,1,none,170,133,101,135
482,Brown Rice,1 bowl,177,111.00,2.60,23.00,0.90,1.80,5.00,1,1,1,none,199,176,131,169
483,Mixed Salad,1 bowl,118,28.00,1.90,5.50,0.30,2.20,40.00,1,1,1,none,96,150,83,110
484,Paneer Curry,1 bowl,197,265.00,11.00,9.00,20.00,2.00,420.00,0,1,1,dairy,186,120,82,129
485,Chapati,2 pieces,79,297.00,9.60,55.00,3.70,7.30,310.00,1,1,0,gluten,202,158,111,157
486,Omelette,2 eggs,108,154.00,12.60,1.10,10.60,0.00,155.00,0,1,1,egg,221,189,105,172
487,Salmon Fillet,1 fillet,158,208.00,20.00,0.00,13.00,0.00,59.00,0,0,1,fish,226,140,120,162
488,Avocado Toast,1 slice,138,220.00,6.00,23.00,12.00,7.00,340.00,1,1,0,gluten,149,177,101,142
489,Greek Yogurt Bowl,1 bowl,167,122.00,11.00,7.00,5.00,1.50,62.00,0,1,1,dairy,230,224,202,219
490,Tofu Stir Fry,1 bowl,207,145.00,12.00,10.00,8.00,3.00,390.00,1,1,1,soy,161,146,115,141
491,Lentil Soup,1 bowl,236,116.00,9.00,20.00,0.50,8.00,360.00,1,1,1,none,175,118,70,121
492,Beef Steak,1 steak,177,271.00,25.00,0.00,19.00,0.00,58.00,0,0,1,none,143,76,64,94
493,Banana Smoothie,1 glass,296,96.00,3.50,18.00,1.20,2.60,45.00,0,1,1,dairy,231,215,140,195
494,Quinoa Bowl,1 bowl,197,120.00,4.40,21.00,1.90,2.80,14.00,1,1,1,none,203,189,141,178
495,Pasta Alfredo,1 plate,276,230.00,8.00,26.00,11.00,1.50,460.00,0,1,0,gluten|dairy,231,211,171,204
496,Veggie Burger,1 burger,217,190.00,12.00,24.00,5.00,6.00,520.00,1,1,0,gluten|soy,167,121,85,124
497,Sushi Roll,8 pieces,246,150.00,6.00,28.00,2.00,1.00,410.00,0,0,0,fish|soy,226,221,207,218
498,Fruit Bowl,1 bowl,217,65.00,1.00,16.00,0.30,3.00,2.00,1,1,1,none,209,146,103,153
499,Idli Sambar,3 idlis,256,133.00,4.80,26.00,1.20,3.50,280.00,1,1,1,none,217,200,166,194
500,Peanut Butter Sandwich,1 sandwich,148,292.00,12.00,30.00,14.00,4.00,390.00,1,1,0,peanut|gluten,181,142,95,139
501,Grilled Chicken Breast,1 serving,150,168.30,31.37,0.00,3.66,0.00,74.44,0,0,1,none,168,140,106,138
502,Brown Rice,1 bowl,180,113.22,2.63,23.32,0.91,1.82,5.03,1,1,1,none,197,183,136,172
503,Mixed Salad,1 bowl,120,28.56,1.92,5.58,0.30,2.22,40.24,1,1,1,none,94,157,88,113
504,Paneer Curry,1 bowl,200,270.30,11.13,9.13,20.32,2.02,422.52,0,1,1,dairy,184,127,87,133
505,Chapati,2 pieces,80,302.94,9.72,55.77,3.76,7.37,311.86,1,1,0,gluten,200,165,116,160
506,Omelette,2 eggs,110,157.08,12.75,1.12,10.77,0.00,155.93,0,1,1,egg,219,196,110,175
507,Salmon Fillet,1 fillet,160,212.16,20.24,0.00,13.21,0.00,59.35,0,0,1,fish,224,147,125,165
508,Avocado Toast,1 slice,140,224.40,6.07,23.32,12.19,7.07,342.04,1,1,0,gluten,147,184,106,146
509,Greek Yogurt Bowl,1 bowl,170,124.44,11.13,7.10,5.08,1.52,62.37,0,1,1,dairy,228,231,207,222
510,Tofu Stir Fry,1 bowl,210,147.90,12.14,10.14,8.13,3.03,392.34,1,1,1,soy,159,153,120,144
511,Lentil Soup,1 bowl,240,118.32,9.11,20.28,0.51,8.08,362.16,1,1,1,none,173,125,75,124
512,Beef Steak,1 steak,180,276.42,25.30,0.00,19.30,0.00,58.35,0,0,1,none,141,83,69,98
513,Banana Smoothie,1 glass,300,97.92,3.54,18.25,1.22,2.63,45.27,0,1,1,dairy,229,222,145,199
514,Quinoa Bowl,1 bowl,200,122.40,4.45,21.29,1.93,2.83,14.08,1,1,1,none,201,196,146,181
515,Pasta Alfredo,1 plate,280,234.60,8.10,26.36,11.18,1.52,462.76,0,1,0,gluten|dairy,229,218,176,208
516,Veggie Burger,1 burger,220,193.80,12.14,24.34,5.08,6.06,523.12,1,1,0,gluten|soy,165,128,90,128
517,Sushi Roll,8 pieces,250,153.00,6.07,28.39,2.03,1.01,412.46,0,0,0,fish|soy,224,228,212,221
518,Fruit Bowl,1 bowl,220,66.30,1.01,16.22,0.30,3.03,2.01,1,1,1,none,207,153,108,156
519,Idli Sambar,3 idlis,260,135.66,4.86,26.36,1.22,3.54,281.68,1,1,1,none,215,207,171,198
520,Peanut Butter Sandwich,1 sandwich,150,297.84,12.14,30.42,14.22,4.04,392.34,1,1,0,peanut|gluten,179,149,100,143
521,Grilled Chicken Breast,1 serving,152,171.60,31.74,0.00,3.72,0.00,74.89,0,0,1,none,166,136,102,135
522,Brown Rice,1 bowl,183,115.44,2.66,23.64,0.93,1.84,5.06,1,1,1,none,195,179,132,169
523,Mixed Salad,1 bowl,122,29.12,1.95,5.65,0.31,2.24,40.48,1,1,1,none,92,153,84,110
524,Paneer Curry,1 bowl,203,275.60,11.26,9.25,20.64,2.04,425.04,0,1,1,dairy,182,123,83,129
525,Chapati,2 pieces,81,308.88,9.83,56.54,3.82,7.45,313.72,1,1,0,gluten,198,161,112,157
526,Omelette,2 eggs,112,160.16,12.90,1.13,10.94,0.00,156.86,0,1,1,egg,217,192,106,172
527,Salmon Fillet,1 fillet,162,216.32,20.48,0.00,13.42,0.00,59.71,0,0,1,fish,222,143,121,162
528,Avocado Toast,1 slice,142,228.80,6.14,23.64,12.38,7.14,344.08,1,1,0,gluten,145,180,102,142
529,Greek Yogurt Bowl,1 bowl,173,126.88,11.26,7.20,5.16,1.53,62.74,0,1,1,dairy,226,227,203,219
530,Tofu Stir Fry,1 bowl,213,150.80,12.29,10.28,8.26,3.06,394.68,1,1,1,soy,157,149,116,141
531,Lentil Soup,1 bowl,244,120.64,9.22,20.56,0.52,8.16,364.32,1,1,1,none,171,121,71,121
532,Beef Steak,1 steak,183,281.84,25.60,0.00,19.61,0.00,58.70,0,0,1,none,139,79,65,94
533,Banana Smoothie,1 glass,304,99.84,3.58,18.50,1.24,2.65,45.54,0,1,1,dairy,227,218,141,195
534,Quinoa Bowl,1 bowl,203,124.80,4.51,21.59,1.96,2.86,14.17,1,1,1,none,199,192,142,178
535,Pasta Alfredo,1 plate,284,239.20,8.19,26.73,11.35,1.53,465.52,0,1,0,gluten|dairy,227,214,172,204
536,Veggie Burger,1 burger,223,197.60,12.29,24.67,5.16,6.12,526.24,1,1,0,gluten|soy,163,124,86,124
537,Sushi Roll,8 pieces,254,156.00,6.14,28.78,2.06,1.02,414.92,0,0,0,fish|soy,222,224,208,218
538,Fruit Bowl,1 bowl,223,67.60,1.02,16.45,0.31,3.06,2.02,1,1,1,none,205,149,104,153
539,Idli Sambar,3 idlis,264,138.32,4.92,26.73,1.24,3.57,283.36,1,1,1,none,213,203,167,194
540,Peanut Butter Sandwich,1 sandwich,152,303.68,12.29,30.84,14.45,4.08,394.68,1,1,0,peanut|gluten,177,145,96,139
541,Grilled Chicken Breast,1 serving,155,174.90,32.12,0.00,3.77,0.00,75.33,0,0,1,none,177,132,98,136
542,Brown Rice,1 bowl,185,117.66,2.69,23.97,0.94,1.85,5.09,1,1,1,none,206,175,128,170
543,Mixed Salad,1 bowl,124,29.68,1.97,5.73,0.31,2.27,40.72,1,1,1,none,103,149,80,111
544,Paneer Curry,1 bowl,206,280.90,11.40,9.38,20.96,2.06,427.56,0,1,1,dairy,193,119,79,130
545,Chapati,2 pieces,82,314.82,9.95,57.31,3.88,7.52,315.58,1,1,0,gluten,209,157,108,158
546,Omelette,2 eggs,113,163.24,13.05,1.15,11.11,0.00,157.79,0,1,1,egg,228,188,102,173
547,Salmon Fillet,1 fillet,165,220.48,20.72,0.00,13.62,0.00,60.06,0,0,1,fish,233,139,117,163
548,Avocado Toast,1 slice,144,233.20,6.22,23.97,12.58,7.21,346.12,1,1,0,gluten,156,176,98,143
549,Greek Yogurt Bowl,1 bowl,175,129.32,11.40,7.29,5.24,1.54,63.12,0,1,1,dairy,237,223,199,220
550,Tofu Stir Fry,1 bowl,216,153.70,12.43,10.42,8.38,3.09,397.02,1,1,1,soy,168,145,112,142
551,Lentil Soup,1 bowl,247,122.96,9.32,20.84,0.52,8.24,366.48,1,1,1,none,182,117,67,122
552,Beef Steak,1 steak,185,287.26,25.90,0.00,19.91,0.00,59.04,0,0,1,none,150,75,61,95
553,Banana Smoothie,1 glass,309,101.76,3.63,18.76,1.26,2.68,45.81,0,1,1,dairy,238,214,137,196
554,Quinoa Bowl,1 bowl,206,127.20,4.56,21.88,1.99,2.88,14.25,1,1,1,none,210,188,138,179
555,Pasta Alfredo,1 plate,288,243.80,8.29,27.09,11.53,1.54,468.28,0,1,0,gluten|dairy,238,210,168,205
556,Veggie Burger,1 burger,227,201.40,12.43,25.01,5.24,6.18,529.36,1,1,0,gluten|soy,174,120,82,125
557,Sushi Roll,8 pieces,258,159.00,6.22,29.18,2.10,1.03,417.38,0,0,0,fish|soy,233,220,204,219
558,Fruit Bowl,1 bowl,227,68.90,1.04,16.67,0.31,3.09,2.04,1,1,1,none,216,145,100,154
559,Idli Sambar,3 idlis,268,140.98,4.97,27.09,1.26,3.60,285.04,1,1,1,none,224,199,163,195
560,Peanut Butter Sandwich,1 sandwich,155,309.52,12.43,31.26,14.67,4.12,397.02,1,1,0,peanut|gluten,188,141,92,140
561,Grilled Chicken Breast,1 serving,146,155.10,29.88,0.00,3.43,0.00,72.67,0,0,1,none,175,139,103,139
562,Brown Rice,1 bowl,175,104.34,2.51,22.03,0.86,1.75,4.91,1,1,1,none,204,182,133,173
563,Mixed Salad,1 bowl,116,26.32,1.83,5.27,0.29,2.13,39.28,1,1,1,none,101,156,85,114
564,Paneer Curry,1 bowl,194,249.10,10.60,8.62,19.04,1.94,412.44,0,1,1,dairy,191,126,84,134
565,Chapati,2 pieces,78,279.18,9.25,52.69,3.52,7.08,304.42,1,1,0,gluten,207,164,113,161
566,Omelette,2 eggs,107,144.76,12.15,1.05,10.09,0.00,152.21,0,1,1,egg,226,195,107,176
567,Salmon Fillet,1 fillet,155,195.52,19.28,0.00,12.38,0.00,57.94,0,0,1,fish,231,146,122,166
568,Avocado Toast,1 slice,136,206.80,5.78,22.03,11.42,6.79,333.88,1,1,0,gluten,154,183,103,147
569,Greek Yogurt Bowl,1 bowl,165,114.68,10.60,6.71,4.76,1.46,60.88,0,1,1,dairy,235,230,204,223
570,Tofu Stir Fry,1 bowl,204,136.30,11.57,9.58,7.62,2.91,382.98,1,1,1,soy,166,152,117,145
571,Lentil Soup,1 bowl,233,109.04,8.68,19.16,0.48,7.76,353.52,1,1,1,none,180,124,72,125
572,Beef Steak,1 steak,175,254.74,24.10,0.00,18.09,0.00,56.96,0,0,1,none,148,82,66,99
573,Banana Smoothie,1 glass,291,90.24,3.37,17.24,1.14,2.52,44.19,0,1,1,dairy,236,221,142,200
574,Quinoa Bowl,1 bowl,194,112.80,4.24,20.12,1.81,2.72,13.75,1,1,1,none,208,195,143,182
575,Pasta Alfredo,1 plate,272,216.20,7.71,24.91,10.47,1.46,451.72,0,1,0,gluten|dairy,236,217,173,209
576,Veggie Burger,1 burger,213,178.60,11.57,22.99,4.76,5.82,510.64,1,1,0,gluten|soy,172,127,87,129
577,Sushi Roll,8 pieces,243,141.00,5.78,26.82,1.90,0.97,402.62,0,0,0,fish|soy,231,227,209,222
578,Fruit Bowl,1 bowl,213,61.10,0.96,15.33,0.29,2.91,1.96,1,1,1,none,214,152,105,157
579,Idli Sambar,3 idlis,252,125.02,4.63,24.91,1.14,3.40,274.96,1,1,1,none,222,206,168,199
580,Peanut Butter Sandwich,1 sandwich,146,274.48,11.57,28.74,13.33,3.88,382.98,1,1,0,peanut|gluten,186,148,97,144
581,Grilled Chicken Breast,1 serving,148,158.40,30.26,0.00,3.48,0.00,73.11,0,0,1,none,173,135,99,136
582,Brown Rice,1 bowl,177,106.56,2.54,22.36,0.87,1.76,4.94,1,1,1,none,202,178,129,170
583,Mixed Salad,1 bowl,118,26.88,1.85,5.35,0.29,2.16,39.52,1,1,1,none,99,152,81,111
584,Paneer Curry,1 bowl,197,254.40,10.74,8.75,19.36,1.96,414.96,0,1,1,dairy,189,122,80,130
585,Chapati,2 pieces,79,285.12,9.37,53.46,3.58,7.15,306.28,1,1,0,gluten,205,160,109,158
586,Omelette,2 eggs,108,147.84,12.30,1.07,10.26,0.00,153.14,0,1,1,egg,224,191,103,173
587,Salmon Fillet,1 fillet,158,199.68,19.52,0.00,12.58,0.00,58.29,0,0,1,fish,229,142,118,163
588,Avocado Toast,1 slice,138,211.20,5.86,22.36,11.62,6.86,335.92,1,1,0,gluten,152,179,99,143
589,Greek Yogurt Bowl,1 bowl,167,117.12,10.74,6.80,4.84,1.47,61.26,0,1,1,dairy,233,226,200,220
590,Tofu Stir Fry,1 bowl,207,139.20,11.71,9.72,7.74,2.94,385.32,1,1,1,soy,164,148,113,142
591,Lentil Soup,1 bowl,236,111.36,8.78,19.44,0.48,7.84,355.68,1,1,1,none,178,120,68,122
592,Beef Steak,1 steak,177,260.16,24.40,0.00,18.39,0.00,57.30,0,0,1,none,146,78,62,95
593,Banana Smoothie,1 glass,296,92.16,3.42,17.50,1.16,2.55,44.46,0,1,1,dairy,234,217,138,196
594,Quinoa Bowl,1 bowl,197,115.20,4.29,20.41,1.84,2.74,13.83,1,1,1,none,206,191,139,179
595,Pasta Alfredo,1 plate,276,220.80,7.81,25.27,10.65,1.47,454.48,0,1,0,gluten|dairy,234,213,169,205
596,Veggie Burger,1 burger,217,182.40,11.71,23.33,4.84,5.88,513.76,1,1,0,gluten|soy,170,123,83,125
597,Sushi Roll,8 pieces,246,144.00,5.86,27.22,1.94,0.98,405.08,0,0,0,fish|soy,229,223,205,219
598,Fruit Bowl,1 bowl,217,62.40,0.98,15.55,0.29,2.94,1.98,1,1,1,none,212,148,101,154
599,Idli Sambar,3 idlis,256,127.68,4.68,25.27,1.16,3.43,276.64,1,1,1,none,220,202,164,195
600,Peanut Butter Sandwich,1 sandwich,148,280.32,11.71,29.16,13.55,3.92,385.32,1,1,0,peanut|gluten,184,144,93,140
601,Grilled Chicken Breast,1 serving,150,161.70,30.63,0.00,3.54,0.00,73.56,0,0,1,none,171,131,104,135
602,Brown Rice,1 bowl,180,108.78,2.57,22.68,0.89,1.78,4.97,1,1,1,none,200,174,134,169
603,Mixed Salad,1 bowl,120,27.44,1.88,5.42,0.30,2.18,39.76,1,1,1,none,97,148,86,110
604,Paneer Curry,1 bowl,200,259.70,10.87,8.87,19.68,1.98,417.48,0,1,1,dairy,187,118,85,130
605,Chapati,2 pieces,80,291.06,9.48,54.23,3.64,7.23,308.14,1,1,0,gluten,203,156,114,158
606,Omelette,2 eggs,110,150.92,12.45,1.08,10.43,0.00,154.07,0,1,1,egg,222,187,108,172
607,Salmon Fillet,1 fillet,160,203.84,19.76,0.00,12.79,0.00,58.65,0,0,1,fish,227,138,123,163
608,Avocado Toast,1 slice,140,215.60,5.93,22.68,11.81,6.93,337.96,1,1,0,gluten,150,175,104,143
609,Greek Yogurt Bowl,1 bowl,170,119.56,10.87,6.90,4.92,1.48,61.63,0,1,1,dairy,231,222,205,219
610,Tofu Stir Fry,1 bowl,210,142.10,11.86,9.86,7.87,2.97,387.66,1,1,1,soy,162,144,118,141
611,Lentil Soup,1 bowl,240,113.68,8.89,19.72,0.49,7.92,357.84,1,1,1,none,176,116,73,122
612,Beef Steak,1 steak,180,265.58,24.70,0.00,18.70,0.00,57.65,0,0,1,none,144,74,67,95
613,Banana Smoothie,1 glass,300,94.08,3.46,17.75,1.18,2.57,44.73,0,1,1,dairy,232,213,143,196
614,Quinoa Bowl,1 bowl,200,117.60,4.35,20.71,1.87,2.77,13.92,1,1,1,none,204,187,144,178
615,Pasta Alfredo,1 plate,280,225.40,7.90,25.64,10.82,1.48,457.24,0,1,0,gluten|dairy,232,209,174,205
616,Veggie Burger,1 burger,220,186.20,11.86,23.66,4.92,5.94,516.88,1,1,0,gluten|soy,168,119,88,125
617,Sushi Roll,8 pieces,250,147.00,5.93,27.61,1.97,0.99,407.54,0,0,0,fish|soy,227,219,210,219
618,Fruit Bowl,1 bowl,220,63.70,0.99,15.78,0.30,2.97,1.99,1,1,1,none,210,144,106,153
619,Idli Sambar,3 idlis,260,130.34,4.74,25.64,1.18,3.46,278.32,1,1,1,none,218,198,169,195
620,Peanut Butter Sandwich,1 sandwich,150,286.16,11.86,29.58,13.78,3.96,387.66,1,1,0,peanut|gluten,182,140,98,140
621,Grilled Chicken Breast,1 serving,152,165.00,31.00,0.00,3.60,0.00,74.00,0,0,1,none,169,138,100,136
622,Brown Rice,1 bowl,183,111.00,2.60,23.00,0.90,1.80,5.00,1,1,1,none,198,181,130,170
623,Mixed Salad,1 bowl,122,28.00,1.90,5.50,0.30,2.20,40.00,1,1,1,none,95,155,82,111
624,Paneer Curry,1 bowl,203,265.00,11.00,9.00,20.00,2.00,420.00,0,1,1,dairy,185,125,81,130
625,Chapati,2 pieces,81,297.00,9.60,55.00,3.70,7.30,310.00,1,1,0,gluten,201,163,110,158
626,Omelette,2 eggs,112,154.00,12.60,1.10,10.60,0.00,155.00,0,1,1,egg,220,194,104,173
627,Salmon Fillet,1 fillet,162,208.00,20.00,0.00,13.00,0.00,59.00,0,0,1,fish,225,145,119,163
628,Avocado Toast,1 slice,142,220.00,6.00,23.00,12.00,7.00,340.00,1,1,0,gluten,148,182,100,143
629,Greek Yogurt Bowl,1 bowl,173,122.00,11.00,7.00,5.00,1.50,62.00,0,1,1,dairy,229,229,201,220
630,Tofu Stir Fry,1 bowl,213,145.00,12.00,10.00,8.00,3.00,390.00,1,1,1,soy,160,151,114,142
631,Lentil Soup,1 bowl,244,116.00,9.00,20.00,0.50,8.00,360.00,1,1,1,none,174,123,69,122
632,Beef Steak,1 steak,183,271.00,25.00,0.00,19.00,0.00,58.00,0,0,1,none,142,81,63,95
633,Banana Smoothie,1 glass,304,96.00,3.50,18.00,1.20,2.60,45.00,0,1,1,dairy,230,220,139,196
634,Quinoa Bowl,1 bowl,203,120.00,4.40,21.00,1.90,2.80,14.00,1,1,1,none,202,194,140,179
635,Pasta Alfredo,1 plate,284,230.00,8.00,26.00,11.00,1.50,460.00,0,1,0,gluten|dairy,230,216,170,205
636,Veggie Burger,1 burger,223,190.00,12.00,24.00,5.00,6.00,520.00,1,1,0,gluten|soy,166,126,84,125
637,Sushi Roll,8 pieces,254,150.00,6.00,28.00,2.00,1.00,410.00,0,0,0,fish|soy,225,226,206,219
638,Fruit Bowl,1 bowl,223,65.00,1.00,16.00,0.30,3.00,2.00,1,1,1,none,208,151,102,154
639,Idli Sambar,3 idlis,264,133.00,4.80,26.00,1.20,3.50,280.00,1,1,1,none,216,205,165,195
640,Peanut Butter Sandwich,1 sandwich,152,292.00,12.00,30.00,14.00,4.00,390.00,1,1,0,peanut|gluten,180,147,94,140
641,Grilled Chicken Breast,1 serving,155,168.30,31.37,0.00,3.66,0.00,74.44,0,0,1,none,167,134,105,135
642,Brown Rice,1 bowl,185,113.22,2.63,23.32,0.91,1.82,5.03,1,1,1,none,196,177,135,169
643,Mixed Salad,1 bowl,124,28.56,1.92,5.58,0.30,2.22,40.24,1,1,1,none,93,151,87,110
644,Paneer Curry,1 bowl,206,270.30,11.13,9.13,20.32,2.02,422.52,0,1,1,dairy,183,121,86,130
645,Chapati,2 pieces,82,302.94,9.72,55.77,3.76,7.37,311.86,1,1,0,gluten,199,159,115,158
646,Omelette,2 eggs,113,157.08,12.75,1.12,10.77,0.00,155.93,0,1,1,egg,218,190,109,172
647,Salmon Fillet,1 fillet,165,212.16,20.24,0.00,13.21,0.00,59.35,0,0,1,fish,223,141,124,163
648,Avocado Toast,1 slice,144,224.40,6.07,23.32,12.19,7.07,342.04,1,1,0,gluten,146,178,105,143
649,Greek Yogurt Bowl,1 bowl,175,124.44,11.13,7.10,5.08,1.52,62.37,0,1,1,dairy,227,225,206,219
650,Tofu Stir Fry,1 bowl,216,147.90,12.14,10.14,8.13,3.03,392.34,1,1,1,soy,158,147,119,141
651,Lentil Soup,1 bowl,247,118.32,9.11,20.28,0.51,8.08,362.16,1,1,1,none,172,119,74,122
652,Beef Steak,1 steak,185,276.42,25.30,0.00,19.30,0.00,58.35,0,0,1,none,140,77,68,95
653,Banana Smoothie,1 glass,309,97.92,3.54,18.25,1.22,2.63,45.27,0,1,1,dairy,228,216,144,196
654,Quinoa Bowl,1 bowl,206,122.40,4.45,21.29,1.93,2.83,14.08,1,1,1,none,200,190,145,178
655,Pasta Alfredo,1 plate,288,234.60,8.10,26.36,11.18,1.52,462.76,0,1,0,gluten|dairy,228,212,175,205
656,Veggie Burger,1 burger,227,193.80,12.14,24.34,5.08,6.06,523.12,1,1,0,gluten|soy,164,122,89,125
657,Sushi Roll,8 pieces,258,153.00,6.07,28.39,2.03,1.01,412.46,0,0,0,fish|soy,223,222,211,219
658,Fruit Bowl,1 bowl,227,66.30,1.01,16.22,0.30,3.03,2.01,1,1,1,none,206,147,107,153
659,Idli Sambar,3 idlis,268,135.66,4.86,26.36,1.22,3.54,281.68,1,1,1,none,214,201,170,195
660,Peanut Butter Sandwich,1 sandwich,155,297.84,12.14,30.42,14.22,4.04,392.34,1,1,0,peanut|gluten,178,143,99,140
661,Grilled Chicken Breast,1 serving,146,171.60,31.74,0.00,3.72,0.00,74.89,0,0,1,none,178,130,101,136
662,Brown Rice,1 bowl,175,115.44,2.66,23.64,0.93,1.84,5.06,1,1,1,none,207,173,131,170
663,Mixed Salad,1 bowl,116,29.12,1.95,5.65,0.31,2.24,40.48,1,1,1,none,104,147,83,111
664,Paneer Curry,1 bowl,194,275.60,11.26,9.25,20.64,2.04,425.04,0,1,1,dairy,194,117,82,131
665,Chapati,2 pieces,78,308.88,9.83,56.54,3.82,7.45,313.72,1,1,0,gluten,210,155,111,159
666,Omelette,2 eggs,107,160.16,12.90,1.13,10.94,0.00,156.86,0,1,1,egg,229,186,105,173
667,Salmon Fillet,1 fillet,155,216.32,20.48,0.00,13.42,0.00,59.71,0,0,1,fish,234,137,120,164
668,Avocado Toast,1 slice,136,228.80,6.14,23.64,12.38,7.14,344.08,1,1,0,gluten,157,174,101,144
669,Greek Yogurt Bowl,1 bowl,165,126.88,11.26,7.20,5.16,1.53,62.74,0,1,1,dairy,238,221,202,220
670,Tofu Stir Fry,1 bowl,204,150.80,12.29,10.28,8.26,3.06,394.68,1,1,1,soy,169,143,115,142
671,Lentil Soup,1 bowl,233,120.64,9.22,20.56,0.52,8.16,364.32,1,1,1,none,183,115,70,123
672,Beef Steak,1 steak,175,281.84,25.60,0.00,19.61,0.00,58.70,0,0,1,none,151,73,64,96
673,Banana Smoothie,1 glass,291,99.84,3.58,18.50,1.24,2.65,45.54,0,1,1,dairy,239,212,140,197
674,Quinoa Bowl,1 bowl,194,124.80,4.51,21.59,1.96,2.86,14.17,1,1,1,none,211,186,141,179
675,Pasta Alfredo,1 plate,272,239.20,8.19,26.73,11.35,1.53,465.52,0,1,0,gluten|dairy,239,208,171,206
676,Veggie Burger,1 burger,213,197.60,12.29,24.67,5.16,6.12,526.24,1,1,0,gluten|soy,175,118,85,126
677,Sushi Roll,8 pieces,243,156.00,6.14,28.78,2.06,1.02,414.92,0,0,0,fish|soy,234,218,207,220
678,Fruit Bowl,1 bowl,213,67.60,1.02,16.45,0.31,3.06,2.02,1,1,1,none,217,143,103,154
679,Idli Sambar,3 idlis,252,138.32,4.92,26.73,1.24,3.57,283.36,1,1,1,none,225,197,166,196
680,Peanut Butter Sandwich,1 sandwich,146,303.68,12.29,30.84,14.45,4.08,394.68,1,1,0,peanut|gluten,189,139,95,141
681,Grilled Chicken Breast,1 serving,148,174.90,32.12,0.00,3.77,0.00,75.33,0,0,1,none,176,137,106,140
682,Brown Rice,1 bowl,177,117.66,2.69,23.97,0.94,1.85,5.09,1,1,1,none,205,180,136,174
683,Mixed Salad,1 bowl,118,29.68,1.97,5.73,0.31,2.27,40.72,1,1,1,none,102,154,88,115
684,Paneer Curry,1 bowl,197,280.90,11.40,9.38,20.96,2.06,427.56,0,1,1,dairy,192,124,87,134
685,Chapati,2 pieces,79,314.82,9.95,57.31,3.88,7.52,315.58,1,1,0,gluten,208,162,116,162
686,Omelette,2 eggs,108,163.24,13.05,1.15,11.11,0.00,157.79,0,1,1,egg,227,193,110,177
687,Salmon Fillet,1 fillet,158,220.48,20.72,0.00,13.62,0.00,60.06,0,0,1,fish,232,144,125,167
688,Avocado Toast,1 slice,138,233.20,6.22,23.97,12.58,7.21,346.12,1,1,0,gluten,155,181,106,147
